,customer_id
7,3f1b4dc8-8a7d-11ea-8ec0-000d3a38a36f
10,ae608ece-c9d8-11ea-a31e-000d3a38a36f
15,13ed97a4-b167-11e9-89fa-000d3a38a36f
19,2730793e-3908-11ea-85d6-000d3a38a36f
21,7b289956-d691-11e9-93bc-000d3a38a36f
29,a46cc34a-a19f-11e9-a2fc-000d3a38a36f
35,7a52fd46-5be8-11ea-a7c9-000d3a38a36f
48,1eb32dea-a409-11e9-a2fc-000d3a38a36f
66,bb548d60-abb6-11e9-a2fc-000d3a38a36f
76,7d58deb6-62fa-11ea-a6dc-000d3a38a36f
91,808005da-a511-11e9-a2fc-000d3a38a36f
108,5bc87a7c-9de8-11e9-9897-000d3a38a36f
122,f318a3de-ad06-11e9-a2fc-000d3a38a36f
130,ae557c64-5b29-11ea-b304-000d3a38a36f
145,5bfa131c-ada5-11e9-a2fc-000d3a38a36f
147,90e0b158-2b54-11ea-9d27-000d3a38a36f
148,ecabc266-a7f6-11e9-a2fc-000d3a38a36f
149,0117c094-63e8-11ea-a6dc-000d3a38a36f
156,c88819fa-d0fb-11ea-8b59-000d3a38a36f
166,9613613c-c9d0-11ea-a31e-000d3a38a36f
170,c25f2eea-265d-11ea-b9a0-000d3a38a36f
175,737ef46a-18eb-11ea-9213-000d3a38a36f
177,06ea4252-5b56-11ea-b15d-000d3a38a36f
187,fac3db2c-9d1f-11e9-9897-000d3a38a36f
203,648eeb1a-983c-11ea-9d91-000d3a38a36f
214,f068ab7c-3990-11ea-85d6-000d3a38a36f
220,7c6ee6da-e531-11ea-b769-000d3a38a36f
222,44cb68d2-5eec-11ea-be5b-000d3a38a36f
227,0f890e44-7f31-11ea-80af-000d3a38a36f
235,175699e0-2ac0-11ea-b3a7-000d3a38a36f
236,6b2d1e68-2d95-11ea-8e71-000d3a38a36f
241,9856d854-b592-11ea-a78c-000d3a38a36f
243,eb1b30a8-a530-11e9-a2fc-000d3a38a36f
246,b1f63c54-d691-11e9-93bc-000d3a38a36f
247,7cefecc8-27b6-11ea-aaaa-000d3a38a36f
262,7aff7b54-abc4-11e9-a2fc-000d3a38a36f
280,9bc68994-5084-11ea-99ba-000d3a38a36f
317,5af055ee-a066-11ea-9d0a-000d3a38a36f
329,9b1ad686-9f5d-11e9-a2fc-000d3a38a36f
331,342bba62-542a-11ea-b1db-000d3a38a36f
335,894ae9ea-bfa6-11ea-9c44-000d3a38a36f
336,4ca21210-a6c1-11e9-a2fc-000d3a38a36f
347,f649fe28-1efc-11ea-81ff-000d3a38a36f
351,8e139dee-673d-11ea-9d38-000d3a38a36f
354,03464e90-8a4d-11ea-8ec0-000d3a38a36f
363,292b3e08-acff-11e9-a2fc-000d3a38a36f
373,a04c6ab8-165c-11ea-aa74-000d3a38a36f
377,1c9f6aa8-ada2-11e9-a2fc-000d3a38a36f
379,648b29d6-d720-11e9-93bc-000d3a38a36f
385,3089494e-eac4-11e9-88c1-000d3a38a36f
388,9a72df9a-9d5e-11e9-9897-000d3a38a36f
400,328d030a-acff-11e9-a2fc-000d3a38a36f
401,6ebf7bc2-a77e-11e9-a2fc-000d3a38a36f
407,1fd54d7a-aae4-11e9-a2fc-000d3a38a36f
413,17663f56-ad63-11e9-a2fc-000d3a38a36f
415,05ff5f30-a256-11e9-a2fc-000d3a38a36f
417,ad874998-9f3b-11e9-9897-000d3a38a36f
419,47df565c-a8f6-11e9-a2fc-000d3a38a36f
423,c331b30a-fc00-11ea-a045-000d3a38a36f
427,d8fef74a-a564-11e9-a2fc-000d3a38a36f
439,5c14aae6-74f7-11ea-bb48-000d3a38a36f
440,72a6cda6-e12d-11e9-957d-000d3a38a36f
452,f349eb80-f340-11e9-9346-000d3a38a36f
465,c1f0a998-15e6-11ea-aa74-000d3a38a36f
